fecha_hora,tipo_ping,ip_objetivo,ubicacion,promedio_ms,count,min_ms,max_ms,std_dev
2025-09-06 00:00:00,Latencia,8.8.8.8,,47.73153692989026,59,33.4317684173584,61.51628494262695,6.330115780402569
2025-09-06 01:00:00,Latencia,8.8.8.8,,45.761168003082275,60,31.9521427154541,61.4771842956543,6.6759968590371574
2025-09-06 02:00:00,Latencia,8.8.8.8,,46.83991273244222,60,31.79192543029785,61.70344352722168,7.081410155148368
2025-09-06 03:00:00,Latencia,8.8.8.8,,48.382226626078285,60,33.267974853515625,62.30664253234863,6.392186708649262
2025-09-06 04:00:00,Latencia,8.8.8.8,,44.138685862223305,60,32.66739845275879,51.2700080871582,5.470057584122264
2025-09-06 05:00:00,Latencia,8.8.8.8,,47.27014040542861,59,31.86631202697754,60.77980995178223,6.245575774651194
2025-09-06 06:00:00,Latencia,8.8.8.8,,46.69919411341349,60,32.96923637390137,61.98859214782715,6.2029888890055345
2025-09-06 07:00:00,Latencia,8.8.8.8,,47.49786059061686,60,32.63425827026367,61.8128776550293,6.128777992104438
2025-09-06 08:00:00,Latencia,8.8.8.8,,46.73210779825846,60,32.32002258300781,61.95521354675293,6.021968408261431
2025-09-06 09:00:00,Latencia,8.8.8.8,,47.028160095214844,60,0,61.19084358215332,8.809792601105443
2025-09-06 10:00:00,Latencia,8.8.8.8,,47.20003207524618,60,34.95192527770996,62.93511390686035,6.3461392724229935
2025-09-06 11:00:00,Latencia,8.8.8.8,,47.18661308288574,59,33.18023681640625,60.03379821777344,5.91781443584386
2025-09-06 12:00:00,Latencia,8.8.8.8,,46.41035795211792,60,34.23261642456055,62.07442283630371,6.3075204892300745
2025-09-06 13:00:00,Latencia,8.8.8.8,,47.30053742726644,60,33.371686935424805,61.40589714050293,5.188412623332845
2025-09-06 14:00:00,Latencia,8.8.8.8,,47.67194844908634,59,34.67512130737305,61.30266189575195,5.693075966594291
2025-09-06 15:00:00,Latencia,8.8.8.8,,48.70291483604302,59,33.84590148925781,63.96603584289551,6.311218464977285
2025-09-06 16:00:00,Latencia,8.8.8.8,,48.140533765157066,60,33.028602600097656,61.791419982910156,6.611517217463461
2025-09-06 17:00:00,Latencia,8.8.8.8,,47.7562395192809,59,33.32042694091797,61.3551139831543,6.255741540795104
2025-09-06 18:00:00,Latencia,8.8.8.8,,47.28527069091797,60,33.586978912353516,62.844276428222656,7.1747200352325216
2025-09-06 19:00:00,Latencia,8.8.8.8,,46.81815772221006,58,33.45966339111328,61.68174743652344,7.781169913127367
2025-09-06 20:00:00,Latencia,8.8.8.8,,46.1316188176473,60,32.60660171508789,61.71703338623047,6.61554806552843
2025-09-06 21:00:00,Latencia,8.8.8.8,,49.15843804677328,60,33.59246253967285,62.387943267822266,6.555917397125305
2025-09-06 22:00:00,Latencia,8.8.8.8,,46.14255030949911,60,33.319950103759766,62.96706199645996,7.484158238914451
2025-09-06 23:00:00,Latencia,8.8.8.8,,46.99581861495972,60,0,61.59210205078125,9.868347364979607
